index,description,tweet_lemma,label_model
74,"Tolak Kenaikan Harga BBM ???????
(Gedung DPRD Lamongan Jawa Timur 12/Sept/2022) https://t.co/7YN7s0skGw",Tolak Kenaikan Harga BBM          Gedung DPRD Lamongan Jawa Timur   Sept     ,negatif
75,"[AKSI TOLAK KENAIKAN HARGA BBM]
??Selasa, 13 September 2022. https://t.co/87I8hudxTw", AKSI TOLAK KENAIKAN HARGA BBM    Selasa    September     ,negatif
76,"Soal penolakan kenaikan harga Bahan Bakar Minyak (BBM).
Kepala @KSPgoid @Dr_Moeldoko
mengapresiasi pengunjuk rasa yang menyampaikan aspirasinya soal penyesuaian harga BBM dengan tertib sehingga situasi demonstrasi tetap kondusif.

#PenjagaNKRI https://t.co/DDWYNprFWg",Soal penolakan kenaikan harga Bahan Bakar Minyak  BBM   Kepala     mengapresiasi pengunjuk rasa yang menyampaikan aspirasinya soal penyesuaian harga BBM dengan tertib sehingga situasi demonstrasi tetap kondusif    PenjagaNKRI  ,netral
77,"Saling dorong dg Aparat, massa aksi Tolak Kenaikan BBM mencoba masuk ke kantor DPRD Bojonegoro, Jawa Timur.. ??????? (13/Sept/2022) https://t.co/aIvu5IPaah",Saling dorong dg Aparat  massa aksi Tolak Kenaikan BBM mencoba masuk ke kantor DPRD Bojonegoro  Jawa Timur              Sept     ,negatif
78,"Demo Mahasiswa Universitas Boyolali Sikapi Kenaikan Harga BBM, Bawa Poster hingga Sampaikan Tuntutan
 
https://t.co/FEG0LNqbof lewat @Tribun_Solo",Demo Mahasiswa Universitas Boyolali Sikapi Kenaikan Harga BBM  Bawa Poster hingga Sampaikan Tuntutan     lewat  ,negatif
79,"https://t.co/VUaIpMN6UR

Hidup mahasiswa! Walaupun aksi kalian tdk diliput tv nasional, tp percayalah, kalian membawa aspirasi rakyat kecil sesungguhnya. Salam perubahan!",   Hidup mahasiswa  Walaupun aksi kalian tdk diliput tv nasional  tp percayalah  kalian membawa aspirasi rakyat kecil sesungguhnya  Salam perubahan ,negatif
80,"Pada hari Rabu, 14 September 2022Mahasiswa Universitas Boyolali menggelar aksi demonstrasi di depan Gedung DPRD Kabupaten Boyolali untuk menolak kebijakan kenaikan harga BBM bersubsidi

#BBMNaikRakyatRevolusi 
#BBM https://t.co/CFjiYF3oV2",Pada hari Rabu    September  Mahasiswa Universitas Boyolali menggelar aksi demonstrasi di depan Gedung DPRD Kabupaten Boyolali untuk menolak kebijakan kenaikan harga BBM bersubsidi   BBMNaikRakyatRevolusi   BBM  ,negatif
81,"Aliansi Ummat Islam Sumedang ""Tolak Kenaikan Harga BBM"" di depan kantor DPRD Sumedang.. Kemarin..
(13/Sept/2022) https://t.co/iAVOjECh77",Aliansi Ummat Islam Sumedang  Tolak Kenaikan Harga BBM  di depan kantor DPRD Sumedang   Kemarin      Sept     ,negatif
82,"Tokoh masyarakat sekaligus Jawara Bekasi, Bang Damin Sada. 
""Dari 10 partai hanya PKS yang tolak kenaikan BBM bersubsidi"".
Yuk dukung perjuangan PKS untuk #TolakKenaikanHargaBBM
#BatalkanKenaikanBBM 

@PKSejahtera 
@pksjabar 
@PKSBekasi 
@pkstarumajaya 
@pakmul63 
@UryanRiana https://t.co/ST82cwCkcA",Tokoh masyarakat sekaligus Jawara Bekasi  Bang Damin Sada    Dari   partai hanya PKS yang tolak kenaikan BBM bersubsidi   Yuk dukung perjuangan PKS untuk  TolakKenaikanHargaBBM  BatalkanKenaikanBBM                     ,netral
83,"Rekomendasi floral skirt ??
??https://t.co/kkmkR0Lvce

Minggu pagii eriska scorpio PARK JISUNG THANK YOU happy chuseok batalkan kenaikan bbm #QueenElizabeth #BigMouth #BigMouthEp13 #Shopee99 #zonajajan https://t.co/set49RTH30",Rekomendasi floral skirt         Minggu pagii eriska scorpio PARK JISUNG THANK YOU happy chuseok batalkan kenaikan bbm  QueenElizabeth  BigMouth  BigMouthEp   Shopee   zonajajan  ,netral
84,"#BBMNaikRakyatRevolusi
element masyarakat menolak kenaikan harga BBM di indonesia.. semoga bsk harga bbm turun harga yaa ?????? 
Harus haris haruusss !!!! https://t.co/sFCBCr7CPx", BBMNaikRakyatRevolusi element masyarakat menolak kenaikan harga BBM di indonesia   semoga bsk harga bbm turun harga yaa         Harus haris haruusss       ,negatif
85,Massa mendesak Pemprov dan DPRD DKI untuk menolak kenaikan harga BBM. Massa merusak pagar Balai Kota DKI Jakarta. https://t.co/YGtcWRf4ON,Massa mendesak Pemprov dan DPRD DKI untuk menolak kenaikan harga BBM  Massa merusak pagar Balai Kota DKI Jakarta   ,negatif
86,"Untuk mengantisipasi dampak kenaikan harga BBM subsidi, Dinas DKP memberikan rekomendasi bagi nelayan #BBM https://t.co/X38XlPNw90",Untuk mengantisipasi dampak kenaikan harga BBM subsidi  Dinas DKP memberikan rekomendasi bagi nelayan  BBM  ,positif
87,"Kenaikan harga BBM nyatanya tak menyelesaikan persoalan ??

Justru menambah beban masyarakat yg bisa melemahkan perekonomian nasional ??

Bebann kenaikan harga BBM pun tak main-main ??
-
Rabu Sarapan #BBMNaikRakyatRevolusi ??
-
* Effendi Simbolon BuzzeRp Ning Imaz Bjorka Islam * https://t.co/gguBGHKzKa",Kenaikan harga BBM nyatanya tak menyelesaikan persoalan     Justru menambah beban masyarakat yg bisa melemahkan perekonomian nasional     Bebann kenaikan harga BBM pun tak main main      Rabu Sarapan  BBMNaikRakyatRevolusi        Effendi Simbolon BuzzeRp Ning Imaz Bjorka Islam    ,negatif
88,"Panjang umur perjuangan?

LANJUT, Aliansi Mahasiswa &amp; Buruh serta Masyarakat Bersatu Tolak Kenaikan Harga BBM di sekitar Bundaran Patung Kuda, Jakarta 13/09/2022

Jangan ada yg cari banser di barisan ini ya??

Disini hanya ada RAKYAT yg berjuang menentukan nasib bangsa ini?? https://t.co/k9wceFPwks",Panjang umur perjuangan   LANJUT  Aliansi Mahasiswa  amp  Buruh serta Masyarakat Bersatu Tolak Kenaikan Harga BBM di sekitar Bundaran Patung Kuda  Jakarta        Jangan ada yg cari banser di barisan ini ya    Disini hanya ada RAKYAT yg berjuang menentukan nasib bangsa ini    ,negatif
89,"“Putri Candrawathi tidak ditahan, itu sebagai bukti Sambo melawan”

Bahkan kenaikan BBM dan Bjorka pun dijadikan bahan untuk menutup kasus Sambo, ngeuri jg Sambo ini !! https://t.co/XWvBLfiaEb", Putri Candrawathi tidak ditahan  itu sebagai bukti Sambo melawan   Bahkan kenaikan BBM dan Bjorka pun dijadikan bahan untuk menutup kasus Sambo  ngeuri jg Sambo ini     ,netral
90,"Kenaikan BBM mempengaruhi semua golongan masyarakat Indonesia 

Pada demonstrasi kenaikan BBM ini, Polri bertekad akan menghadapinya dengan aksi simpatik dan humanis, sedapat mungkin mengedepankan persuasif dan tidak melakukan kekerasan terhadap peserta Demonstrasi https://t.co/YdePBqTWmy",Kenaikan BBM mempengaruhi semua golongan masyarakat Indonesia   Pada demonstrasi kenaikan BBM ini  Polri bertekad akan menghadapinya dengan aksi simpatik dan humanis  sedapat mungkin mengedepankan persuasif dan tidak melakukan kekerasan terhadap peserta Demonstrasi  ,negatif
91,"PASCA KENAIKAN HARGA BBM, POLSEK BALEENDAH POLRESTA BANDUNG BAKSOS SEMBAKO BERSAMA MAHASISWA UNIBA

Baleendah - Pasca kenaikan harga BBM, Polsek Baleendah Polresta Bandung melaksanakan bakti sosial (baksos).

Baksos ini dengan membagi-bagikan paket sembako kepada masyarakat yang https://t.co/8DJYcxaUEh",PASCA KENAIKAN HARGA BBM  POLSEK BALEENDAH POLRESTA BANDUNG BAKSOS SEMBAKO BERSAMA MAHASISWA UNIBA  Baleendah   Pasca kenaikan harga BBM  Polsek Baleendah Polresta Bandung melaksanakan bakti sosial  baksos    Baksos ini dengan membagi bagikan paket sembako kepada masyarakat yang  ,positif
92,"Dari Sleman, PKS Tuntut Batalkan Kenaikan Harga BBM Bersubsidi

“Aksi ini merupakan ungkapan jeritan masyarakat atas kebijakan pemerintah menaikkan harga BBM,” ~ Yani Fathu Rahman

#AksiTolakBBMNaik

https://t.co/axDXFZKfRo",Dari Sleman  PKS Tuntut Batalkan Kenaikan Harga BBM Bersubsidi   Aksi ini merupakan ungkapan jeritan masyarakat atas kebijakan pemerintah menaikkan harga BBM     Yani Fathu Rahman   AksiTolakBBMNaik   ,netral
93,"Dewan Pimpinan Cabang Serikat Pekerja Rumpun Melayu Industri Indonesia (DPC SPRMII) Kota Dumai menolak kenaikan BBM.

#BBMNaikRakyatRevolusi https://t.co/yrBQ5CapPH",Dewan Pimpinan Cabang Serikat Pekerja Rumpun Melayu Industri Indonesia  DPC SPRMII  Kota Dumai menolak kenaikan BBM    BBMNaikRakyatRevolusi  ,negatif
94,"Massa yang menggelar demonstrasi menolak kenaikan harga BBM di kawasan Patung Kuda, Jakarta Pusat, masih bertahan. Massa tampak menyalakan flare di lokasi. https://t.co/mLlL3mCF9F",Massa yang menggelar demonstrasi menolak kenaikan harga BBM di kawasan Patung Kuda  Jakarta Pusat  masih bertahan  Massa tampak menyalakan flare di lokasi   ,negatif
95,@yusuf_dumdum Ini lah penyusup yg disuruh cuap cuap oleh bezzer Rp agar dapat bahan untuk memberitakan bahwa demo yg menolak kenaikan BBM kekerangan logistik trik khas para buzzer Rp unt mengkonter demo penolak kenaikan BBM,  Ini lah penyusup yg disuruh cuap cuap oleh bezzer Rp agar dapat bahan untuk memberitakan bahwa demo yg menolak kenaikan BBM kekerangan logistik trik khas para buzzer Rp unt mengkonter demo penolak kenaikan BBM,negatif
96,"Menteri BUMN rencanakan naikkan gaji karyawan BUMN.
HEBAT !!!
Duitnya dari hasil naiknya BBM?
#BBMMeroketJokowiTurun
#BBMMeroketJokowiTurun

 https://t.co/F5jGOthi2G",Menteri BUMN rencanakan naikkan gaji karyawan BUMN  HEBAT     Duitnya dari hasil naiknya BBM   BBMMeroketJokowiTurun  BBMMeroketJokowiTurun    ,netral
97,Salam Djoeang kepada Mahasiswa/i yg sedang demo kenaikan harga BBM https://t.co/xAECBcVrQw,Salam Djoeang kepada Mahasiswa i yg sedang demo kenaikan harga BBM  ,negatif
98,"Selain memperpanjang masa pencairan bonus direksi. Ada kenaikan upah karyawan BUMN. Kebijakan ini dilakukan menyusul adanya kenaikan harga BBM. Kebijakan terakhir, memasukan sejumlah nama eks direksi BUMN dalam daftar hitam 

#BangkitBersamaET 
@erickthohir https://t.co/sOBUYaOenU",Selain memperpanjang masa pencairan bonus direksi  Ada kenaikan upah karyawan BUMN  Kebijakan ini dilakukan menyusul adanya kenaikan harga BBM  Kebijakan terakhir  memasukan sejumlah nama eks direksi BUMN dalam daftar hitam    BangkitBersamaET     ,negatif
99,"Situasi Aksi Demonstrasi menolak kenaikan harga BBM di Kawasan Patung Kuda, dekat Tugu Monas. Massa Demonstran masih bertahan hingga pukul 20.00 WIB. 
#breakingnews #aktualcom #tolakkenaikanbbm  
#BBMNaikRakyatRevolusi https://t.co/0ZDW0m7Qm1",Situasi Aksi Demonstrasi menolak kenaikan harga BBM di Kawasan Patung Kuda  dekat Tugu Monas  Massa Demonstran masih bertahan hingga pukul     WIB    breakingnews  aktualcom  tolakkenaikanbbm    BBMNaikRakyatRevolusi  ,negatif
100,"Demo Tolak Kenaikan BBM, Mahasiswa Sempat Duduki Gedung DPRD Kaltim https://t.co/5iGZCivYLU",Demo Tolak Kenaikan BBM  Mahasiswa Sempat Duduki Gedung DPRD Kaltim  ,negatif
101,"""Ya Allah, berilah kepada Kami rasa takut yang menghalangi Kami (mendekati) kemaksiatan kepadamu …"" (HR. Abu Dawud)   
Kenaikan BBM Menzalimi Rakyat   .?. #l40kd", Ya Allah  berilah kepada Kami rasa takut yang menghalangi Kami  mendekati  kemaksiatan kepadamu     HR  Abu Dawud     Kenaikan BBM Menzalimi Rakyat        l kd,positif
102,?? LIVE: Aksi Demonstrasi Menolak Kenaikan BBM di Depan Balai Kota DKI Jakarta Terjadi Kericuhan.?? https://t.co/KQa8fk6HfF,   LIVE  Aksi Demonstrasi Menolak Kenaikan BBM di Depan Balai Kota DKI Jakarta Terjadi Kericuhan     ,negatif
103,Apakah kamu sahabat orang bahagia itu ? :) . .   Kenaikan BBM Menzalimi Rakyat   .?. #YWEsp https://t.co/sPfvrEBEdz,Apakah kamu sahabat orang bahagia itu            Kenaikan BBM Menzalimi Rakyat        YWEsp  ,negatif
104,"Pemerintah juga menerima aspirasi seluruh masyarakat, termasuk soal penolakan kenaikan harga bahan bakar minyak (BBM) . 
#PenjagaNKRI 
@Dr_Moeldoko @KSPgoid 
@jokowi Salam Santun ?? https://t.co/r0sIWRSeT9",Pemerintah juga menerima aspirasi seluruh masyarakat  termasuk soal penolakan kenaikan harga bahan bakar minyak  BBM      PenjagaNKRI         Salam Santun     ,positif
105,"[PRESIDEN PKS MENYAPA NTT]

Presiden PKS, H. Ahmad Syaikhu, menyapa masyarakat pesisir di Pulau Messah, Suku Bajo.

Dalam kesempatan ini pula, 
Presiden PKS berdiskusi dengan sejumlah warga terkait isu-isu terkini, khususnya respons masyarakat terhadap kenaikan harga BBM. https://t.co/fdYYu64N8l", PRESIDEN PKS MENYAPA NTT   Presiden PKS  H  Ahmad Syaikhu  menyapa masyarakat pesisir di Pulau Messah  Suku Bajo   Dalam kesempatan ini pula   Presiden PKS berdiskusi dengan sejumlah warga terkait isu isu terkini  khususnya respons masyarakat terhadap kenaikan harga BBM   ,netral
106,"@budimandjatmiko Ktnya lg fokus ngurus pertanian mas, tp msh care mslh ""remeh"" pdhl kenaikan hrg bbm ini a/ isu nasional, ada yg nolak bhkn sampe nangis bombay demi pencitraan, ad jg yg dkung spy terlihat gagah di medsos ????",  Ktnya lg fokus ngurus pertanian mas  tp msh care mslh  remeh  pdhl kenaikan hrg bbm ini a  isu nasional  ada yg nolak bhkn sampe nangis bombay demi pencitraan  ad jg yg dkung spy terlihat gagah di medsos     ,netral
107,"Aksi Penolakan Kenaikan Harga BBM, Bogor yang Sejuk, Kini Memanas! | MMC News 

Rabu kemarin, 7 September 2022 masyarakat menggelar aksi di depan gedung DPRD Kota Bogor. Apa saja yang menjadi tuntutan mereka? Mari kita simak liputan eksklusif berikut ini!

https://t.co/RjigWRM8mO https://t.co/3HPCIvWmpE",Aksi Penolakan Kenaikan Harga BBM  Bogor yang Sejuk  Kini Memanas    MMC News   Rabu kemarin    September   masyarakat menggelar aksi di depan gedung DPRD Kota Bogor  Apa saja yang menjadi tuntutan mereka  Mari kita simak liputan eksklusif berikut ini      ,negatif
108,"Aceh 12 September 2022

Lihatlah kebrutalan aparat kepolisian menembak kearah mahasiswa dan satu mahasiswa terjatuh, mahasiswa hanya ingin masuk ke kantor DPRD untuk berdiskusi soal tolak kenaikan harga BBM, tugas polisi cukup mengawal bukan menembak dan memukul https://t.co/EyocZOzG8d",Aceh   September    Lihatlah kebrutalan aparat kepolisian menembak kearah mahasiswa dan satu mahasiswa terjatuh  mahasiswa hanya ingin masuk ke kantor DPRD untuk berdiskusi soal tolak kenaikan harga BBM  tugas polisi cukup mengawal bukan menembak dan memukul  ,negatif
109,Nama Puan Maharani dibawa-bawa massa pendemo tolak kenaikan harga BBM. Massa menyindir sikap Puan lantaran pernah menangis tolak harga BBM naik pada era SBY. https://t.co/Z768hev6Hk,Nama Puan Maharani dibawa bawa massa pendemo tolak kenaikan harga BBM  Massa menyindir sikap Puan lantaran pernah menangis tolak harga BBM naik pada era SBY   ,negatif
110,"Pasca kenaikan harga bahan bakar minyak (BBM), pemerintah mengalihkan subsidi BBM agar subsidi yang diberikan tepat sasaran. 

-utas-
#InfoPengawasan https://t.co/57ocFBJul8",Pasca kenaikan harga bahan bakar minyak  BBM   pemerintah mengalihkan subsidi BBM agar subsidi yang diberikan tepat sasaran     utas   InfoPengawasan  ,positif
111,Tolak Kenaikan Harga BBM dari Aliansi Buruh di depan Kantor Pemerintah kota Bekasi.. (14/Sept/2022) https://t.co/OPkMdFmSg2,Tolak Kenaikan Harga BBM dari Aliansi Buruh di depan Kantor Pemerintah kota Bekasi      Sept     ,negatif
112,Massa Demo Kenaikan BBM di Balai Kota DKI Bubarkan Diri https://t.co/ej1f3gKkRP,Massa Demo Kenaikan BBM di Balai Kota DKI Bubarkan Diri  ,negatif
113,"Menyampaikan aspirasi merupakan hak warga negara yang dilindungi oleh peraturan perundang-undangan. Namun demikian kegiatan tersebut haruslah dilakukan dengan tertib dan tidak mengganggu aktivitas masyarakat lainnya.

Selengkapnya baca di:
https://t.co/xbuyWTglwU https://t.co/R0qGbnBXn4",Menyampaikan aspirasi merupakan hak warga negara yang dilindungi oleh peraturan perundang undangan  Namun demikian kegiatan tersebut haruslah dilakukan dengan tertib dan tidak mengganggu aktivitas masyarakat lainnya   Selengkapnya baca di     ,netral
114,"Kelompok petani menjadi salah satu konsen Gubernur Jawa Tengah @ganjarpranowo terkait pemberian bantuan atau subsidi dampak kenaikan harga BBM. Bahkan, pak Ganjar telah menyiapkan skema insentif untuk petani.

https://t.co/4UMMFJ3Dzf https://t.co/QUCa3XiUKk",Kelompok petani menjadi salah satu konsen Gubernur Jawa Tengah   terkait pemberian bantuan atau subsidi dampak kenaikan harga BBM  Bahkan  pak Ganjar telah menyiapkan skema insentif untuk petani      ,positif
115,"Aliansi BEM SI, buruh,pelajar 

Kobarkan api perlawanan , tolak kenaikan harga BBM 

13 sept 2022

Panjang umur perjuangan ? https://t.co/Ya1zDF04zT",Aliansi BEM SI  buruh pelajar   Kobarkan api perlawanan   tolak kenaikan harga BBM     sept    Panjang umur perjuangan    ,negatif
116,"Dampak Harga BBM Naik, Pendapatan Driver Ojol di Bojonegoro Turun.

Bojonegoro (https://t.co/ksziGGp1k3) – Dampak adanya kenaikan harga Bahan Bakar Minyak (BBM) subsidi, pendapatan driver ojek… https://t.co/veRdIntFZe #PolitikPemerintahan #bbmnaik #Bojonegoro #hargabbmnaik",Dampak Harga BBM Naik  Pendapatan Driver Ojol di Bojonegoro Turun   Bojonegoro      Dampak adanya kenaikan harga Bahan Bakar Minyak  BBM  subsidi  pendapatan driver ojek     PolitikPemerintahan  bbmnaik  Bojonegoro  hargabbmnaik,negatif
117,"Indonesia 12 September 2022

Demo tolak kenaikan harga bbm masif di seluruh Indonesia ulama, mahasiswa, buruh, ojol dan masyarakat bersatu padu https://t.co/4qQNZDi26E",Indonesia   September    Demo tolak kenaikan harga bbm masif di seluruh Indonesia ulama  mahasiswa  buruh  ojol dan masyarakat bersatu padu  ,negatif
118,"Wahhh speechless sih. Apa yang dia bilang gak salah, itu emang bentuk ketimpangan. Tapi dari cara bicara, pemilihan kata dan gesture nya tuh seakan2 ngerendahin masyarakat yang sekarang lagi berjuang biar bisa tetep hidup di tengah kenaikan bbm ini. Sedih bgt jujur??",Wahhh speechless sih  Apa yang dia bilang gak salah  itu emang bentuk ketimpangan  Tapi dari cara bicara  pemilihan kata dan gesture nya tuh seakan  ngerendahin masyarakat yang sekarang lagi berjuang biar bisa tetep hidup di tengah kenaikan bbm ini  Sedih bgt jujur  ,netral
119,Mahasiswa: Jangan jadi Dewan Perwakilan Rakyat Dungu https://t.co/B6S0Z9blxJ,Mahasiswa  Jangan jadi Dewan Perwakilan Rakyat Dungu  ,negatif
120,"Menteri BUMN Erick Thohir dorong pengadaan bus listrik untuk jaga kelestarian lingkungan. 
Kendaraan listrik itu 0 emisi, bersih, ga pakai BBM, ga ngaruh dgn kenaikan BBM, ngecas baterai full klu sepeda motor Rp2800 bisa jalan 50km, klu mobil Rp50rb jalan 350km
#BangkitBersamaET https://t.co/eiwRUwoUff",Menteri BUMN Erick Thohir dorong pengadaan bus listrik untuk jaga kelestarian lingkungan   Kendaraan listrik itu   emisi  bersih  ga pakai BBM  ga ngaruh dgn kenaikan BBM  ngecas baterai full klu sepeda motor Rp  bisa jalan  km  klu mobil Rp rb jalan  km  BangkitBersamaET  ,netral
121,"OJOL MEDAN KEREN ????????!
Salah satu tuntutan penolakan kenaikan BBM...

AKSI DEMO PENOLAKAN KENAIKAN BBM OJOL DI MEDAN 13 SEPTEMBER 2022

#BatalkanKenaikanBBM https://t.co/zvZC2s3qkd",OJOL MEDAN KEREN           Salah satu tuntutan penolakan kenaikan BBM     AKSI DEMO PENOLAKAN KENAIKAN BBM OJOL DI MEDAN   SEPTEMBER     BatalkanKenaikanBBM  ,negatif
122,"Sejumlah tokoh masyarakat dan cendekiawan mendukung kebijakan Presiden @jokowi yang menaikkan harga bahan bakar minyak (BBM) bersubsidi. 

https://t.co/O3wjLI5Ouf https://t.co/wyxwDU7DUN",Sejumlah tokoh masyarakat dan cendekiawan mendukung kebijakan Presiden   yang menaikkan harga bahan bakar minyak  BBM  bersubsidi       ,netral
123,"Kebijakan kenaikan harga BBM adalah wujud pragmatisme hakiki yang membuat rakyat makin ""lelah hayati"".

#Opini #BBMNaik #BansosBBM

https://t.co/tl5Spd0GkE",Kebijakan kenaikan harga BBM adalah wujud pragmatisme hakiki yang membuat rakyat makin  lelah hayati     Opini  BBMNaik  BansosBBM   ,negatif
124,"#BansosBBM 

Dampak kenaikan harga BBM tidak sesederhana yang dibayangkan. Bansos ibarat hanya mampir sebentar di dompet rakyat untuk selanjutnya segera digunakan untuk transaksi ekonomi demi menyambung episode hidup yang selanjutnya.", BansosBBM   Dampak kenaikan harga BBM tidak sesederhana yang dibayangkan  Bansos ibarat hanya mampir sebentar di dompet rakyat untuk selanjutnya segera digunakan untuk transaksi ekonomi demi menyambung episode hidup yang selanjutnya ,positif
125,"Polisi: Hari Ini Dua Kelompok Mahasiswa Bakal Gelar Aksi Demo Tolak Kenaikan Harga BBM Bersubsidi
https://t.co/fSLGgmtGKv",Polisi  Hari Ini Dua Kelompok Mahasiswa Bakal Gelar Aksi Demo Tolak Kenaikan Harga BBM Bersubsidi  ,negatif
126,"Protes Kenaikan BBM, Ribuan Mahasiswa Babel Aksi Long March https://t.co/U6tnY3vw53",Protes Kenaikan BBM  Ribuan Mahasiswa Babel Aksi Long March  ,negatif
127,"Massa demo tolak kenaikan harga BBM dari kalangan mahasiswa dan buruh masih bertahan di Patung Kuda, Jakpus. Aksi demo dari massa tersebut kini makin memanas. https://t.co/8lJdBEVjTH",Massa demo tolak kenaikan harga BBM dari kalangan mahasiswa dan buruh masih bertahan di Patung Kuda  Jakpus  Aksi demo dari massa tersebut kini makin memanas   ,negatif
128,Massa PMII Jakarta Timur mulai meninggalkan kawasan Balai Kota DKI Jakarta sekitar pukul 17.52 WIB. https://t.co/vjScuY8nc0,Massa PMII Jakarta Timur mulai meninggalkan kawasan Balai Kota DKI Jakarta sekitar pukul     WIB   ,negatif
129,"Kepala Staf Kepresidenan Moeldoko mengklaim bahwa kenaikan harga Bahan Bakar Minyak (BBM) adalah sesuatu yang biasa terjadi dengan situasi saat ini.
#Moeldoko
#BBMNaik

https://t.co/G5QgC9z3T3 https://t.co/OG5k6bqBFK",Kepala Staf Kepresidenan Moeldoko mengklaim bahwa kenaikan harga Bahan Bakar Minyak  BBM  adalah sesuatu yang biasa terjadi dengan situasi saat ini   Moeldoko  BBMNaik     ,netral
130,"Untuk pertama kalinya setelah dari lama kepingin ikut mendokumentasikan unjuk rasa, akhirnya kemarin Selasa (13/9) kesampean juga.

Berikut sedikit dokumentasi aksi unjuk rasa mahasiswa dan buruh menolak kenaikan BBM di Patung Kuda, Monas.

#Ardivisual https://t.co/J6GbcA6Eh4",Untuk pertama kalinya setelah dari lama kepingin ikut mendokumentasikan unjuk rasa  akhirnya kemarin Selasa       kesampean juga   Berikut sedikit dokumentasi aksi unjuk rasa mahasiswa dan buruh menolak kenaikan BBM di Patung Kuda  Monas    Ardivisual  ,negatif
131,"Hekel karbitan kayaknya, hebohnya doang selangit. 
Media tipi ampe lupa ada berita besar didepan mata yaitu aksi-aksi demonstrasi rakyat menolak kenaikan harga BBM. https://t.co/MDTMprOA18",Hekel karbitan kayaknya  hebohnya doang selangit   Media tipi ampe lupa ada berita besar didepan mata yaitu aksi aksi demonstrasi rakyat menolak kenaikan harga BBM   ,negatif
132,"Berkaitan dengan Dampak kenaikan Harga BBM, kali ini saya kembali menjumpai para pengunjuk rasa yg berasal dari Gabungan Ojek Roda Dua Medan Sekitarnya. Saya sangat memahami besarnya dampak ekonomi yg disebabkan oleh kenaikan harga BBM. InsyaAllah ada win win solution untuk ini https://t.co/oC2XGVGE5R",Berkaitan dengan Dampak kenaikan Harga BBM  kali ini saya kembali menjumpai para pengunjuk rasa yg berasal dari Gabungan Ojek Roda Dua Medan Sekitarnya  Saya sangat memahami besarnya dampak ekonomi yg disebabkan oleh kenaikan harga BBM  InsyaAllah ada win win solution untuk ini  ,negatif
133,"TOLAK kenaikan BBM...pulang DEMO antri di SPBU ngisi bensin.

KADRUUUN KADRUN !! https://t.co/lUsYdHQxMQ",TOLAK kenaikan BBM   pulang DEMO antri di SPBU ngisi bensin   KADRUUUN KADRUN     ,netral
134,"Melihat Eskalasi Demonstrasi yang Semakin Besar, Sepertinya Akan Muncul Sosok Hebat, Luar Biasa, Powerful dan Paling Peduli Rakyat yang Akan Mengumumkan Pembatalan Kenaikan Harga BBM. https://t.co/3LhVc3FEbP",Melihat Eskalasi Demonstrasi yang Semakin Besar  Sepertinya Akan Muncul Sosok Hebat  Luar Biasa  Powerful dan Paling Peduli Rakyat yang Akan Mengumumkan Pembatalan Kenaikan Harga BBM   ,negatif
135,"Tolak Kenaikan Harga BBM, Serikat Buruh Gelar Demo di Balaikota Jakarta: Aksi Serupa Bakal Berlangsung Sebulan Penuh
https://t.co/k8xpUupYMT",Tolak Kenaikan Harga BBM  Serikat Buruh Gelar Demo di Balaikota Jakarta  Aksi Serupa Bakal Berlangsung Sebulan Penuh  ,negatif
136,"Tolak Kenaikan Harga BBM, IMM Sulbar Segel Ruang Paripurna DPRD Sulbar https://t.co/gZKb3wIafJ",Tolak Kenaikan Harga BBM  IMM Sulbar Segel Ruang Paripurna DPRD Sulbar  ,negatif
137,Demo Tolak Kenaikan Harga BBM di Aceh Tengah Berjalan Kondusif https://t.co/1ju4JAe54i,Demo Tolak Kenaikan Harga BBM di Aceh Tengah Berjalan Kondusif  ,negatif
138,"#MensosRisma
#BLT 
#BeritaBandaAceh

""Saya berharap bantuan sosial BLT BBM ini dapat digunakan untuk membantu kenaikan-kenaikan harga yang terjadi. Bukan digunakan untuk beli rokok dan lainnya,"" kata Mensos Risma.
 
https://t.co/JNJqCeSywV", MensosRisma  BLT   BeritaBandaAceh   Saya berharap bantuan sosial BLT BBM ini dapat digunakan untuk membantu kenaikan kenaikan harga yang terjadi  Bukan digunakan untuk beli rokok dan lainnya   kata Mensos Risma     ,positif
139,"sambil menikmati hasil kenaikan BBM bbrp hari ini, penguasa tetap tutup mata &amp; telinga, sekalipun sdh demo dimana²#BBMNaikRakyatRevolusi",sambil menikmati hasil kenaikan BBM bbrp hari ini  penguasa tetap tutup mata  amp  telinga  sekalipun sdh demo dimana  BBMNaikRakyatRevolusi,negatif
140,Mau jadi orang beruntung ? . .   Kenaikan BBM Menzalimi Rakyat   .??????. #rkTpS https://t.co/xoXocGzZus,Mau jadi orang beruntung         Kenaikan BBM Menzalimi Rakyat             rkTpS  ,negatif
141,Para perajin tahu terdampak naiknya harga kacang kedelai dari Rp11.800 per kilogram menjadi Rp13.000 per kilogram akibat dari kenaikan harga bahan bakar minyak (BBM). #kumparanBISNIS https://t.co/MvfR3eUGh0,Para perajin tahu terdampak naiknya harga kacang kedelai dari Rp    per kilogram menjadi Rp    per kilogram akibat dari kenaikan harga bahan bakar minyak  BBM    kumparanBISNIS  ,netral
